"address","price","postal_code","residence_type","floor_size","number_of_bathrooms","number_of_bedrooms","street_address","latitude","longitude","year_built","garage","pool","house_type"
"106 Forest Hills St #103, Boston, MA 02130 - Condo For Sale","719000","2130","SingleFamilyResidence","894","2","2","106 Forest Hills St #103","42.308259","-71.102215","2021","1","No","condominium"
"52 Withington St #4, Dorchester Center, MA 02124 - Condo For Sale","599999","2124","SingleFamilyResidence","1010","2","3","52 Withington St #4","42.287881","-71.072503","2023","0","No","condominium"
"Open House: 11:00 AM - 12:30 PM at 52 Withington St #4","599999","","v","","","","","","","","","",""
"Open House: 11:00 AM - 12:30 PM at 52 Withington St #4","599999","","v","","","","","","","","","",""
"22 Liberty Dr #7A, Boston, MA 02210 - Home For Sale","6195000","2210","SingleFamilyResidence","2027","2 / 1","2","22 Liberty Dr #7A","42.354597","-71.045273","2015","2","No","home"
"195 Marlborough St #1, Boston, MA 02116 - Condo For Sale","2390000","2116","SingleFamilyResidence","1566","2 / 1","2","195 Marlborough St #1","42.352563","-71.080628","1884","1","No","condominium"
"Open House: 12:00 PM - 1:00 PM at 195 Marlborough St #1","2390000","","v","","","","","","","","","",""
"220 Boylston St #1106, Boston, MA 02116 - Condo For Sale","1595000","2116","SingleFamilyResidence","938","1","1","220 Boylston St #1106","42.352148","-71.068301","1985","1","community-pool","condominium"
"7 Waumbeck St #3, Boston, MA 02121 - Condo For Sale","699000","2121","SingleFamilyResidence","1500","2","4","7 Waumbeck St #3","42.313597","-71.084296","2023","0","0.12 acres","condominium"
"52 Withington St #5, Dorchester Center, MA 02124 - Condo For Sale","699999","2124","SingleFamilyResidence","1450","2","3","52 Withington St #5","42.287881","-71.072503","2023","0","No","condominium"
"Open House: 11:00 AM - 12:30 PM at 52 Withington St #5","699999","","v","","","","","","","","","",""
"Open House: 11:00 AM - 12:30 PM at 52 Withington St #5","699999","","v","","","","","","","","","",""
"472 W Broadway #204, Boston, MA 02127 - Condo For Sale","899000","2127","SingleFamilyResidence","897","2","2","472 W Broadway #204","42.335888","-71.045809","2022","1","No","condominium"
"642 Canterbury St #642, Boston, MA 02131 - Home For Sale","500000","2131","SingleFamilyResidence","1272","1 / 1","2","642 Canterbury St #642","42.286702","-71.110025","1987","2","0.03 acres","home"
"Open House: 5:30 PM - 7:00 PM at 642 Canterbury St #642","500000","","v","","","","","","","","","",""
"Open House: 11:00 AM - 1:00 PM at 642 Canterbury St #642","500000","","v","","","","","","","","","",""
"Open House: 1:00 PM - 3:00 PM at 642 Canterbury St #642","500000","","v","","","","","","","","","",""
"425 Lagrange St #110, Boston, MA 02132 - Condo For Sale","625000","2132","SingleFamilyResidence","941","2","2","425 Lagrange St #110","42.281012","-71.158949","2023","2","0.62 acres","condominium"
"Open House: 12:00 PM - 1:00 PM at 425 Lagrange St #110","625000","","v","","","","","","","","","",""
"45 Province St #2802, Boston, MA 02108 - Condo For Sale","2349000","2108","SingleFamilyResidence","1636","2","2","45 Province St #2802","42.357328","-71.059945","2009","1","0.04 acres","condominium"
"Open House: 12:00 PM - 2:00 PM at 45 Province St #2802","2349000","","v","","","","","","","","","",""
"Open House: 5:00 PM - 7:00 PM at 45 Province St #2802","2349000","","v","","","","","","","","","",""
"Open House: 12:00 PM - 2:00 PM at 45 Province St #2802","2349000","","v","","","","","","","","","",""
"Open House: 12:00 PM - 2:00 PM at 45 Province St #2802","2349000","","v","","","","","","","","","",""
"100 Belvidere St #4G, Boston, MA 02199 - Condo For Sale","5595000","2199","SingleFamilyResidence","2654","2 / 1","3","100 Belvidere St #4G","42.345855","-71.082231","2001","2","No","condominium"
"9 Jenkins St, Boston, MA 02127 - Single-Family Home For Sale","749000","2127","SingleFamilyResidence","1292","1","3","9 Jenkins St","42.330745","-71.053736","1905","0","No","single-family-home"
"202 K St #4, Boston, MA 02127 - Condo For Sale","599000","2127","SingleFamilyResidence","700","1","1","202 K St #4","42.336347","-71.037218","1899","0","No","condominium"
"98 Chestnut St #3, Boston, MA 02108 - Condo For Sale","2350000","2108","SingleFamilyResidence","1445","2","3","98 Chestnut St #3","42.356682","-71.070832","1875","0","No","condominium"
"6 Middleton St, Boston, MA 02124 - Single-Family Home For Sale","729000","2124","SingleFamilyResidence","1030","1","3","6 Middleton St","42.282616","-71.086521","1900","0","0.06 acres","single-family-home"
"95 Cowper St #3, Boston, MA 02128 - Condo For Sale","549000","2128","SingleFamilyResidence","750","1","1","95 Cowper St #3","42.380681","-71.01692","1895","0","No","condominium"
"121 Portland St #411, Boston, MA 02114 - Condo For Sale","825900","2114","SingleFamilyResidence","930","1 / 1","1","121 Portland St #411","42.363584","-71.060502","2017","0","No","condominium"
